     no.     LAT.        LONG.    Veast       Vnorth      SEeast      SEnorth     Correlation
  
       2   -45.00000   166.00000       0.005      -0.038       0.000       0.000    0.0000
       3   -45.00000   167.00000     -17.348       3.656       0.000       0.000    0.0000
       4   -45.00000   168.00000     -24.798      -7.445       0.000       0.000    0.0000
       5   -45.00000   169.00000     -28.422     -10.205       0.000       0.000    0.0000
       6   -45.00000   170.00000     -30.184     -11.350       0.000       0.000    0.0000
       7   -45.00000   171.00000     -32.331     -10.280       0.000       0.000    0.0000
       8   -45.00000   172.00000     -33.403     -11.280       0.000       0.000    0.0000
       9   -45.00000   173.00000     -34.570     -11.132       0.000       0.000    0.0000
      14   -44.00000   167.00000      -0.061      -0.002       0.000       0.000    0.0000
      15   -44.00000   168.00000      -1.394       0.252       0.000       0.000    0.0000
      16   -44.00000   169.00000     -16.002      -4.395       0.000       0.000    0.0000
      17   -44.00000   170.00000     -27.274      -9.505       0.000       0.000    0.0000
      18   -44.00000   171.00000     -32.482     -10.746       0.000       0.000    0.0000
      19   -44.00000   172.00000     -33.719     -10.920       0.000       0.000    0.0000
      20   -44.00000   173.00000     -34.525     -10.449       0.000       0.000    0.0000
      21   -44.00000   174.00000     -35.726     -10.203       0.000       0.000    0.0000
      27   -43.00000   169.00000      -1.754       0.413       0.000       0.000    0.0000
      28   -43.00000   170.00000      -4.587       1.013       0.000       0.000    0.0000
      29   -43.00000   171.00000     -10.925      -1.978       0.000       0.000    0.0000
      30   -43.00000   172.00000     -26.934      -9.188       0.000       0.000    0.0000
      31   -43.00000   173.00000     -32.628     -10.602       0.000       0.000    0.0000
      32   -43.00000   174.00000     -35.368     -10.733       0.000       0.000    0.0000
      33   -43.00000   175.00000     -36.957      -9.595       0.000       0.000    0.0000
      39   -42.00000   170.00000      -0.899       0.152       0.000       0.000    0.0000
      40   -42.00000   171.00000      -3.066       0.111       0.000       0.000    0.0000
      41   -42.00000   172.00000      -6.410       0.367       0.000       0.000    0.0000
      42   -42.00000   173.00000     -13.446      -1.708       0.000       0.000    0.0000
      43   -42.00000   174.00000     -27.492      -9.490       0.000       0.000    0.0000
      44   -42.00000   175.00000     -38.119     -10.108       0.000       0.000    0.0000
      51   -41.00000   171.00000      -0.143       0.067       0.000       0.000    0.0000
      52   -41.00000   172.00000      -3.078       0.369       0.000       0.000    0.0000
      53   -41.00000   173.00000      -6.795       0.237       0.000       0.000    0.0000
      54   -41.00000   174.00000     -10.351      -1.485       0.000       0.000    0.0000
      55   -41.00000   175.00000     -19.815      -5.299       0.000       0.000    0.0000
      64   -40.00000   173.00000      -2.503      -0.043       0.000       0.000    0.0000
      65   -40.00000   174.00000      -5.557      -1.065       0.000       0.000    0.0000
      66   -40.00000   175.00000      -8.842      -3.135       0.000       0.000    0.0000
      76   -39.00000   174.00000      -1.602      -0.910       0.000       0.000    0.0000
      77   -39.00000   175.00000      -1.797      -1.735       0.000       0.000    0.0000
      88   -38.00000   175.00000      -0.158      -1.108       0.000       0.000    0.0000
      98   -37.00000   174.00000      -0.056      -0.048       0.000       0.000    0.0000
      99   -37.00000   175.00000      -0.154      -0.571       0.000       0.000    0.0000
     107   -36.00000   172.00000       0.000       0.001       0.000       0.000    0.0000
     108   -36.00000   173.00000      -0.045       0.019       0.000       0.000    0.0000
     109   -36.00000   174.00000      -0.131       0.086       0.000       0.000    0.0000
     110   -36.00000   175.00000       0.436      -0.278       0.000       0.000    0.0000
     118   -35.00000   172.00000       0.067       0.024       0.000       0.000    0.0000
     119   -35.00000   173.00000       0.160       0.062       0.000       0.000    0.0000
     120   -35.00000   174.00000       0.418       0.116       0.000       0.000    0.0000
     121   -35.00000   175.00000       1.172      -0.365       0.000       0.000    0.0000
