date,velocity,step,ramp,decay,decay0
2004-01-01,-0.3505,5.1000,5.1000,5.1000,3.0552
2004-01-04,-0.3422,5.1000,5.1000,5.1000,3.0669
2004-01-07,-0.3340,5.1000,5.1000,5.1000,3.0785
2004-01-10,-0.3258,5.1000,5.1000,5.1000,3.0901
2004-01-13,-0.3176,5.1000,5.1000,5.1000,3.1017
2004-01-16,-0.3094,5.1000,5.1000,5.1000,3.1131
2004-01-19,-0.3012,5.1000,5.1000,5.1000,3.1245
2004-01-22,-0.2930,5.1000,5.1000,5.1000,3.1358
2004-01-25,-0.2847,5.1000,5.1000,5.1000,3.1471
2004-01-28,-0.2765,5.1000,5.1000,5.1000,3.1583
2004-01-31,-0.2683,5.1000,5.1000,5.1000,3.1694
2004-02-03,-0.2601,5.1000,5.1000,5.1000,3.1805
2004-02-06,-0.2519,5.1000,5.1000,5.1000,3.1915
2004-02-09,-0.2437,5.1000,5.1000,5.1000,3.2024
2004-02-12,-0.2355,5.1000,5.1000,5.1000,3.2133
2004-02-15,-0.2272,5.1000,5.1000,5.1000,3.2241
2004-02-18,-0.2190,5.1000,5.1000,5.1000,3.2349
2004-02-21,-0.2108,5.1000,5.1000,5.1000,3.2456
2004-02-24,-0.2026,5.1000,5.1000,5.1000,3.2562
2004-02-27,-0.1944,5.1000,5.1000,5.1000,3.2668
2004-03-01,-0.1862,5.1000,5.1000,5.1000,3.2773
2004-03-04,-0.1780,5.1000,5.1000,5.1000,3.2877
2004-03-07,-0.1698,5.1000,5.1000,5.1000,3.2981
2004-03-10,-0.1615,5.1000,5.1000,5.1000,3.3085
2004-03-13,-0.1533,5.1000,5.1000,5.1000,3.3187
2004-03-16,-0.1451,5.1000,5.1000,5.1000,3.3289
2004-03-19,-0.1369,5.1000,5.1000,5.1000,3.3391
2004-03-22,-0.1287,5.1000,5.1000,5.1000,3.3492
2004-03-25,-0.1205,5.1000,5.1000,5.1000,3.3592
2004-03-28,-0.1123,5.1000,5.1000,5.1000,3.3692
2004-03-31,-0.1040,5.1000,5.1000,5.1000,3.3791
2004-04-03,-0.0958,5.1000,5.1000,5.1000,3.3890
2004-04-06,-0.0876,5.1000,5.1000,5.1000,3.3988
2004-04-09,-0.0794,5.1000,5.1000,5.1000,3.4086
2004-04-12,-0.0712,5.1000,5.1000,5.1000,3.4183
2004-04-15,-0.0630,5.1000,5.1000,5.1000,3.4279
2004-04-18,-0.0548,5.1000,5.1000,5.1000,3.4375
2004-04-21,-0.0465,5.1000,5.1000,5.1000,3.4470
2004-04-24,-0.0383,5.1000,5.1000,5.1000,3.4565
2004-04-27,-0.0301,5.1000,5.1000,5.1000,3.4659
2004-04-30,-0.0219,5.1000,5.1000,5.1000,3.4753
2004-05-03,-0.0137,5.1000,5.1000,5.1000,3.4846
2004-05-06,-0.0055,5.1000,5.1000,5.1000,3.4939
2004-05-09,0.0027,5.1000,5.1000,5.1000,3.5031
2004-05-12,0.0110,5.1000,5.1000,5.1000,3.5122
2004-05-15,0.0192,5.1000,5.1000,5.1000,3.5213
2004-05-18,0.0274,5.1000,5.1000,5.1000,3.5304
2004-05-21,0.0356,5.1000,5.1000,5.1000,3.5394
2004-05-24,0.0438,5.1000,5.1000,5.1000,3.5483
2004-05-27,0.0520,5.1000,5.1000,5.1000,3.5572
2004-05-30,0.0602,5.1000,5.1000,5.1000,3.5661
2004-06-02,0.0684,5.1000,5.1000,5.1000,3.5749
2004-06-05,0.0767,5.1000,5.1000,5.1000,3.5836
2004-06-08,0.0849,5.1000,5.1000,5.1000,3.5923
2004-06-11,0.0931,5.1000,5.1000,5.1000,3.6009
2004-06-14,0.1013,5.1000,5.1000,5.1000,3.6095
2004-06-17,0.1095,5.1000,5.1000,5.1000,3.6181
2004-06-20,0.1177,5.1000,5.1000,5.1000,3.6266
2004-06-23,0.1259,5.1000,5.1000,5.1000,3.6350
2004-06-26,0.1342,5.1000,5.1000,5.1000,3.6434
2004-06-29,0.1424,5.1000,5.1000,5.1000,3.6518
2004-07-02,0.1506,5.1000,5.1000,5.1000,3.6601
2004-07-05,0.1588,5.1000,5.1000,5.1000,3.6683
2004-07-08,0.1670,5.1000,5.1000,5.1000,3.6765
2004-07-11,0.1752,5.1000,5.1000,5.1000,3.6847
2004-07-14,0.1834,5.1000,5.1000,5.1000,3.6928
2004-07-17,0.1917,5.1000,5.1000,5.1000,3.7009
2004-07-20,0.1999,5.1000,5.1000,5.1000,3.7089
2004-07-23,0.2081,5.1000,5.1000,5.1000,3.7169
2004-07-26,0.2163,5.1000,5.1000,5.1000,3.7248
2004-07-29,0.2245,5.1000,5.1000,5.1000,3.7327
2004-08-01,0.2327,5.1000,5.1000,5.1000,3.7405
2004-08-04,0.2409,5.1000,5.1000,5.1000,3.7483
2004-08-07,0.2491,5.1000,5.1000,5.1000,3.7561
2004-08-10,0.2574,5.1000,5.1000,5.1000,3.7638
2004-08-13,0.2656,5.1000,5.1000,5.1000,3.7714
2004-08-16,0.2738,5.1000,5.1000,5.1000,3.7791
2004-08-19,0.2820,5.1000,5.1000,5.1000,3.7866
2004-08-22,0.2902,5.1000,5.1000,5.1000,3.7942
2004-08-25,0.2984,5.1000,5.1000,5.1000,3.8016
2004-08-28,0.3066,5.1000,5.1000,5.1000,3.8091
2004-08-31,0.3149,5.1000,5.1000,5.1000,3.8165
2004-09-03,0.3231,5.1000,5.1000,5.1000,3.8238
2004-09-06,0.3313,5.1000,5.1000,5.1000,3.8312
2004-09-09,0.3395,5.1000,5.1000,5.1000,3.8384
2004-09-12,0.3477,5.1000,5.1000,5.1000,3.8457
2004-09-15,0.3559,5.1000,5.1000,5.1000,3.8529
2004-09-18,0.3641,5.1000,5.1000,5.1000,3.8600
2004-09-21,0.3724,5.1000,5.1000,5.1000,3.8671
2004-09-24,0.3806,5.1000,5.1000,5.1000,3.8742
2004-09-27,0.3888,5.1000,5.1000,5.1000,3.8812
2004-09-30,0.3970,5.1000,5.1000,5.1000,3.8882
2004-10-03,0.4052,5.1000,5.1000,5.1000,3.8951
2004-10-06,0.4134,5.1000,5.1000,5.1000,3.9021
2004-10-09,0.4216,5.1000,5.1000,5.1000,3.9089
2004-10-12,0.4299,5.1000,5.1000,5.1000,3.9158
2004-10-15,0.4381,5.1000,5.1000,5.1000,3.9225
2004-10-18,0.4463,5.1000,5.1000,5.1000,3.9293
2004-10-21,0.4545,5.1000,5.1000,5.1000,3.9360
2004-10-24,0.4627,5.1000,5.1000,5.1000,3.9427
2004-10-27,0.4709,5.1000,5.1000,5.1000,3.9493
2004-10-30,0.4791,5.1000,5.1000,5.1000,3.9559
2004-11-02,0.4873,5.1000,5.1000,5.1000,3.9625
2004-11-05,0.4956,5.1000,5.1000,5.1000,3.9690
2004-11-08,0.5038,5.1000,5.1000,5.1000,3.9755
2004-11-11,0.5120,5.1000,5.1000,5.1000,3.9819
2004-11-14,0.5202,5.1000,5.1000,5.1000,3.9883
2004-11-17,0.5284,5.1000,5.1000,5.1000,3.9947
2004-11-20,0.5366,5.1000,5.1000,5.1000,4.0010
2004-11-23,0.5448,5.1000,5.1000,5.1000,4.0073
2004-11-26,0.5531,5.1000,5.1000,5.1000,4.0136
2004-11-29,0.5613,5.1000,5.1000,5.1000,4.0198
2004-12-02,0.5695,5.1000,5.1000,5.1000,4.0260
2004-12-05,0.5777,5.1000,5.1000,5.1000,4.0322
2004-12-08,0.5859,5.1000,5.1000,5.1000,4.0383
2004-12-11,0.5941,5.1000,5.1000,5.1000,4.0444
2004-12-14,0.6023,5.1000,5.1000,5.1000,4.0504
